ct,GEOID,svi_ptile,transit_ptile,asthmavalue,PTRAF,PTRAF_bycensus,No_of_Stops,PTover45m_pct,,,,,,,,,,,,,,,
24510080101,245100801013,0.1929,0.3605547,0.114,1442.919098,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080101,245100801014,0.1929,0.3605547,0.114,1311.183194,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080102,245100801021,0.7665,0.898305085,0.133,2128.238,1835.694579,11,58.36,,,,,,,,,,,,,,,
24510080102,245100801022,0.7665,0.898305085,0.133,1543.151157,1835.694579,11,58.36,,,,,,,,,,,,,,,
24510080200,245100802001,0.8071,0.366718028,0.128,486.7360545,823.8712116,20,60,,,,,,,,,,,,,,,
24510080200,245100802002,0.8071,0.366718028,0.128,864.4417462,823.8712116,20,60,,,,,,,,,,,,,,,
24510080200,245100802003,0.8071,0.366718028,0.128,1120.435834,823.8712116,20,60,,,,,,,,,,,,,,,
24510080301,245100803011,0.8528,0.562403698,0.13,272.1698046,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080301,245100803012,0.8528,0.562403698,0.13,178.4484641,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080301,245100803013,0.8528,0.562403698,0.13,258.050087,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080302,245100803021,0.7614,0.659476117,0.123,802.1185268,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803022,0.7614,0.659476117,0.123,913.7742986,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803023,0.7614,0.659476117,0.123,311.9954152,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803024,0.7614,0.659476117,0.123,273.5474678,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080400,245100804001,0.9695,0.832049307,0.138,525.0874724,495.0183945,4,76.55,,,,,,,,,,,,,,,
24510080400,245100804002,0.9695,0.832049307,0.138,464.9493165,495.0183945,4,76.55,,,,,,,,,,,,,,,
24510080500,245100805001,0.7766,0.43605547,0.133,2073.311423,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080500,245100805002,0.7766,0.43605547,0.133,2053.35443,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080500,245100805003,0.7766,0.43605547,0.133,1537.161473,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080600,245100806001,0.8223,0.637904468,0.13,1273.552743,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806002,0.8223,0.637904468,0.13,1602.479301,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806003,0.8223,0.637904468,0.13,1457.556787,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806004,0.8223,0.637904468,0.13,1363.51786,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080700,245100807001,0.7157,0.285053929,0.125,955.5713954,958.3985567,8,54.84,,,,,,,,,,,,,,,
24510080700,245100807002,0.7157,0.285053929,0.125,961.225718,958.3985567,8,54.84,,,,,,,,,,,,,,,
24510080800,245100808001,0.6853,0.130970724,0.14,1019.526989,925.7171544,10,18.8,,,,,,,,,,,,,,,
24510080800,245100808002,0.6853,0.130970724,0.14,831.9073198,925.7171544,10,18.8,,,,,,,,,,,,,,,
24510090100,245100901001,0.4924,0.902927581,0.123,469.5560565,490.7686242,13,57.44,,,,,,,,,,,,,,,
24510090100,245100901002,0.4924,0.902927581,0.123,364.209078,490.7686242,13,57.44,,,,,,,,,,,,,,,
24510090100,245100901003,0.4924,0.902927581,0.123,314.1534365,490.7686242,13,57.44,,,,,,,,,,,,,,,
24510090100,245100901004,0.4924,0.902927581,0.123,862.9285695,490.7686242,13,57.44,,,,,,,,,,,,,,,
24510090100,245100901005,0.4924,0.902927581,0.123,442.9959805,490.7686242,13,57.44,,,,,,,,,,,,,,,
24510090200,245100902001,0.2538,0.166409861,0.108,960.7418476,1031.942665,15,31.78,,,,,,,,,,,,,,,
24510090200,245100902002,0.2538,0.166409861,0.108,1103.143483,1031.942665,15,31.78,,,,,,,,,,,,,,,
24510090300,245100903001,0.6497,0.271186441,0.115,710.5044543,679.708887,18,58.28,,,,,,,,,,,,,,,
24510090300,245100903002,0.6497,0.271186441,0.115,1101.960963,679.708887,18,58.28,,,,,,,,,,,,,,,
24510090300,245100903003,0.6497,0.271186441,0.115,253.5782831,679.708887,18,58.28,,,,,,,,,,,,,,,
24510090300,245100903004,0.6497,0.271186441,0.115,652.7918475,679.708887,18,58.28,,,,,,,,,,,,,,,
24510090400,245100904001,0.9086,0.802773498,0.131,1049.575094,1259.851119,3,68.36,,,,,,,,,,,,,,,
24510090400,245100904002,0.9086,0.802773498,0.131,1470.127144,1259.851119,3,68.36,,,,,,,,,,,,,,,
24510090500,245100905001,0.5025,0.288135593,0.118,456.6540694,695.4140487,17,61.21,,,,,,,,,,,,,,,
24510090500,245100905002,0.5025,0.288135593,0.118,934.174028,695.4140487,17,61.21,,,,,,,,,,,,,,,
24510090600,245100906001,0.5685,0.628659476,0.132,3151.258927,2241.547448,7,80.42,,,,,,,,,,,,,,,
24510090600,245100906002,0.5685,0.628659476,0.132,1751.630585,2241.547448,7,80.42,,,,,,,,,,,,,,,
24510090600,245100906003,0.5685,0.628659476,0.132,1925.945405,2241.547448,7,80.42,,,,,,,,,,,,,,,
24510090600,245100906004,0.5685,0.628659476,0.132,2137.354875,2241.547448,7,80.42,,,,,,,,,,,,,,,
24510090700,245100907001,0.736,0.704160247,0.13,963.9047508,893.1918363,7,16.51,,,,,,,,,,,,,,,
24510090700,245100907002,0.736,0.704160247,0.13,887.9641212,893.1918363,7,16.51,,,,,,,,,,,,,,,
24510090700,245100907003,0.736,0.704160247,0.13,1189.781901,893.1918363,7,16.51,,,,,,,,,,,,,,,
24510090700,245100907004,0.736,0.704160247,0.13,531.1165721,893.1918363,7,16.51,,,,,,,,,,,,,,,
24510090800,245100908001,0.7056,0.457627119,0.137,1238.110189,1366,25,93.27,,,,,,,,,,,,,,,
